Instrument,Spot,Sample,Label,Type,Min,Ca_per,Mg_per,Sr_ppm,Fe_ppm,Mn_ppm,S_per,Formation,Generation
Caltech,274,MDE_173_6_H1,Oo,ooid,CA,37.004,0.41,0,2494.35,1321.7,0.022,Shuram,1
Caltech,126,MD6_258_6_E1,Oo,ooid,DL,21.845,13.22,0,2667.58,1032.6,0,TopKhufai,1
Caltech,127,MD6_258_6_E1,Oo,ooid,DL,21.931,13.129,0,2632,1222.89,0.015,TopKhufai,1
Caltech,128,MD6_258_6_E1,Oo,ooid,DL,21.864,13.137,0,3711.2,1480.49,0,TopKhufai,1
Caltech,129,MD6_258_6_E1,Oo,ooid,DL,21.713,13.025,0,3482.1,982.91,0.012,TopKhufai,1
Caltech,130,MD6_258_6_E1,Oo,ooid,DL,22.28,12.654,0,3715.24,1261.22,0.05,TopKhufai,1
Caltech,131,MD6_258_6_E1,Oo,ooid,DL,22.309,12.951,0,3141.21,1189.54,0.028,TopKhufai,1
Caltech,132,MD6_258_6_E1,Oo,ooid,DL,21.909,13.083,554.96,3907.94,839.33,0,TopKhufai,1
Caltech,133,MD6_258_6_E1,Oo,ooid,DL,21.8,13.037,0,4037.18,1029.67,0,TopKhufai,1
Caltech,134,MD6_258_6_E1,Oo,ooid,DL,21.725,13.135,0,2993.93,1349.87,0.014,TopKhufai,1
Caltech,135,MD6_258_6_E1,Oo,ooid,DL,21.748,12.96,0,3965.4,1366.57,0.014,TopKhufai,1
Caltech,136,MD6_258_6_E1,Oo,ooid,DL,21.747,13.204,0,3309.19,926.73,0.015,TopKhufai,1
Caltech,137,MD6_258_6_E1,Oo,ooid,DL,21.828,13.225,0,2352.35,598.57,0.014,TopKhufai,1
Caltech,138,MD6_258_6_E1,Oo,ooid,DL,21.718,13.172,0,4155.64,1517.48,0,TopKhufai,1
Caltech,139,MD6_258_6_E1,Oo,ooid,DL,21.853,13.187,0,4586.18,1133.94,0.015,TopKhufai,1
Caltech,140,MD6_258_6_E1,Oo,ooid,DL,21.769,13.073,0,3475.15,1555.37,0.011,TopKhufai,1
Caltech,141,MD6_258_6_E1,Oo,ooid,DL,21.861,13.074,0,3940.84,1320.2,0.013,TopKhufai,1
Caltech,142,MD6_258_6_E1,Oo,ooid,DL,21.861,13.06,0,2512.57,1226.84,0,TopKhufai,1
Caltech,143,MD6_258_6_E1,Oo,ooid,DL,21.693,13.062,0,3253.82,1546.91,0.012,TopKhufai,1
Caltech,144,MD6_258_6_E1,Oo,ooid,DL,21.761,13.194,683.2,2992.34,982.35,0,TopKhufai,1
Caltech,154,MD6_258_6_B3,Oo,ooid,DL,21.554,13.021,0,3900.85,1011.45,0,TopKhufai,1
Caltech,155,MD6_258_6_B3,Oo,ooid,DL,21.635,13.276,0,3452.37,1069.89,0.014,TopKhufai,1
Caltech,156,MD6_258_6_B3,Oo,ooid,DL,21.867,13.201,652.72,2956.54,913.99,0,TopKhufai,1
Caltech,157,MD6_258_6_B3,Oo,ooid,DL,21.749,13.213,0,3109.75,1213.67,0,TopKhufai,1
Caltech,158,MD6_258_6_B3,Oo,ooid,DL,21.672,13.293,0,2756.61,535.04,0.013,TopKhufai,1
Caltech,159,MD6_258_6_B3,Oo,ooid,DL,21.943,13.159,0,3512.86,1239.54,0.014,TopKhufai,1
Caltech,160,MD6_258_6_B3,Oo,ooid,DL,21.65,13.202,0,3300.95,1206.22,0.013,TopKhufai,1
Caltech,161,MD6_258_6_B3,Oo,ooid,DL,21.759,13.082,655.16,3691.92,1150.58,0,TopKhufai,1
Caltech,162,MD6_258_6_B3,Oo,ooid,DL,21.751,13.274,0,3807.78,1441.79,0.011,TopKhufai,1
Caltech,163,MD6_258_6_B3,Oo,ooid,DL,22.021,13.222,0,2535.38,610.89,0.022,TopKhufai,1
Caltech,164,MD6_258_6_B3,Oo,ooid,DL,21.834,13.507,0,1880.37,0,0,TopKhufai,1
Caltech,165,MD6_258_6_B3,Oo,ooid,DL,22.028,13.334,0,1311.53,0,0.016,TopKhufai,1
Caltech,166,MD6_258_6_B3,Oo,ooid,DL,21.366,13.273,0,6191.57,0,0,TopKhufai,1
Caltech,167,MD6_258_6_B3,Oo,ooid,DL,21.449,13.033,0,4892.53,929.8,0.011,TopKhufai,1
Caltech,168,MD6_258_6_B3,Oo,ooid,DL,21.931,13.269,0,527.84,0,0.01,TopKhufai,1
Caltech,169,MD6_258_6_B3,Oo,ooid,DL,21.935,13.06,581.53,3326.43,1071.85,0.015,TopKhufai,1
Caltech,170,MD6_258_6_B3,Oo,ooid,DL,22.004,13.212,0,3906.29,1354.73,0,TopKhufai,1
Caltech,171,MD6_258_6_B3,Oo,ooid,DL,21.786,13.249,0,3775.91,1085.58,0.022,TopKhufai,1
Caltech,145,MD6_258_6_E1,S,sediment,DL,21.771,13.228,0,3179.66,981.97,0,TopKhufai,2
Caltech,146,MD6_258_6_E1,S,sediment,DL,20.254,11.919,0,3561.12,624.43,0.015,TopKhufai,2
Caltech,147,MD6_258_6_E1,S,sediment,DL,19.102,11.621,0,2501.68,633.58,0,TopKhufai,2
Caltech,148,MD6_258_6_E1,S,sediment,DL,21.455,12.579,0,14683.75,997.93,0,TopKhufai,2
Caltech,149,MD6_258_6_E1,S,sediment,DL,21.755,13.073,0,3988.13,1291.35,0,TopKhufai,2
Caltech,150,MD6_258_6_E1,S,sediment,DL,21.584,13.337,0,2662.66,295.38,0.013,TopKhufai,2
Caltech,151,MD6_258_6_E1,S,sediment,DL,20.401,12.641,0,5539.91,737.94,0,TopKhufai,2
Caltech,152,MD6_258_6_E1,S,sediment,DL,19.171,11.72,0,5962.62,796.9,0,TopKhufai,2
Caltech,153,MD6_258_6_E1,S,sediment,DL,20.789,12.438,0,4704.86,1087.41,0.022,TopKhufai,2
Caltech,172,MD6_258_6_B3,S,sediment,DL,21.369,13.153,0,7547.86,962.93,0,TopKhufai,2
Caltech,173,MD6_258_6_B3,S,sediment,DL,21.257,12.972,0,10330.18,1373.02,0,TopKhufai,2
Caltech,174,MD6_258_6_B3,S,sediment,DL,21.371,13.281,0,2089.62,0,0.017,TopKhufai,2
Caltech,179,MD6_258_6_B3,S,sediment,DL,21.445,13.184,0,4982.38,1034.95,0,TopKhufai,2
Caltech,180,MD6_258_6_B3,S,sediment,DL,21.817,13.259,0,3196.82,1111.47,0,TopKhufai,2
MIT,1,KDW_69.9,S,sediment,DL,21.2050263,12.73021412,9.301575966,832.4981209,0,,Khufai,1
