Region,Formation,Section,sample ID,AgeModel,TIC wt%,del13CIC,OC wt%,delOC,del18O,FeHR/FeT,,siltstone,conglomerate,calcareous,diamictite,,,,,,,,,,,,,,,,,,,,0
Avalon Peninnsula,Middle Mistaken Point,,183,565.8,0.001,-19.82,0.00,,-15.73,0.22,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,184,565.8,0.001,-15.02,0.00,,,0.31,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,185,565.7,0.001,-7.03,0.00,,,0.15,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,186,565.7,,,,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,187,565.7,0.000,-12.05,0.00,,,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,188,565.7,,,,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,189,565.6,,,,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,190,565.6,0.000,-9.64,0.00,,,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,191,565.6,0.033,-26.22,0.03,,-6.04,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,192,565.5,0.002,-21.90,0.00,,-15.41,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,193,565.5,0.001,-18.86,0.00,,-10.51,0.26,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,194,565.5,0.001,-10.68,0.00,,,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,195,565.4,0.001,-7.98,0.00,,,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,196,565.4,0.001,-5.01,0.00,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle Mistaken Point,,197,565.4,0.000,-8.93,0.00,,,0.22,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Mistaken point,Spaniards Bay,108,565.3,0.340,-9.30,0.34,,-15.27,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Mistaken point,Spaniards Bay,109,565.3,0.003,-10.70,0.00,,,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Upper Mistaken point,Spaniards Bay,110,565.2,0.300,-5.10,0.30,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,28,564.8,0.004,-3.50,0.00,,-13.20,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,29,564.8,,,,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,30,564.7,,,,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,31,564.7,,,,,,0.20,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,32,564.6,,,,,,0.33,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,33,564.6,0.002,-13.14,0.00,,,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,34,564.6,,,,,,0.24,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,35,564.5,0.004,-14.45,0.00,,-17.20,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,37,564.5,0.072,-17.28,0.07,,-12.10,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,38,564.4,0.013,-16.07,0.01,,-17.00,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,39,564.4,0.002,-11.86,0.00,,-13.80,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,40,564.4,,,,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,41,564.3,,,,,,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,42,564.3,0.095,-14.99,0.10,,-17.35,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,43,564.2,0.002,-9.61,0.00,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,44,564.2,,,,,,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Trepassey,,45,564.2,0.065,-9.51,0.07,,-16.50,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lowermost Fermeuse,,46,563.6,,,,,,0.41,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,135,563.5,0.026,-3.26,0.03,,,0.16,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,136,563.3,0.640,-5.20,0.64,,-9.80,0.16,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,137,563.1,0.047,-5.10,0.05,,-10.00,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,138,562.9,0.055,-4.20,0.06,,-8.70,0.16,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,139,562.7,0.069,-3.20,0.07,,-8.80,0.16,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,140,562.5,0.020,,0.02,,,0.18,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,141,562.3,,,,,,0.13,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,142,562.1,,,,,,0.22,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,143,561.9,0.417,-5.50,0.42,,,0.22,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,144,561.7,0.003,-5.29,0.00,,,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Lower Fermeuse,,145,561.5,,,,,,0.16,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,74,560.0,1.107,-3.14,1.11,,-6.74,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,75,559.9,0.188,-4.92,0.19,,-15.88,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,76,559.8,0.002,-4.45,0.00,,-14.40,0.17,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,77,559.7,0.148,-2.32,0.15,,-14.33,0.19,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,78,559.6,0.278,-4.71,0.28,,-15.84,0.21,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,79,559.5,0.086,-4.68,0.09,,-17.09,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,80,559.4,0.111,-4.97,0.11,,-16.01,0.25,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Middle to Upper Fermeuse,,81,559.3,0.155,-4.07,0.16,,-14.94,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
