UID,Session,Sample,d45,d46,d47,d48,d49
3811,20171229,NCM,5.786907,12.219216,17.570946,24.343084,30.969682
3781,20171229,ETH-1,5.687020,11.820065,17.002439,23.649116,44.360124
3804,20171229,NCM,5.777956,12.235031,17.595358,24.532457,36.870367
3793,20171229,ETH-2,-6.290879,-4.833383,-11.774879,-9.546539,-2.376856
3777,20171229,ETH-3,5.432037,12.370899,17.690813,24.878489,49.011852
3787,20171229,MDE_292.5,-1.433992,8.521421,6.625709,17.125982,30.722685
3783,20171229,KDW2_131.8_A,2.570839,9.532467,11.800371,19.083471,36.788865
3799,20171229,KDW2_59.0,7.037104,11.282159,18.169292,22.562909,39.040322
3798,20171229,ETH-4,-6.350105,-4.937924,-11.664085,-9.757178,2.468982
3805,20171229,NCM,5.793873,12.239620,17.544049,24.334951,20.037956
3785,20171229,ETH-2,-6.305889,-4.885030,-11.804200,-9.704084,3.970107
3791,20171229,KDW2_64.8,6.051709,13.181695,19.063144,26.478193,51.584464
3780,20171229,MDE_293.4,-4.247948,8.296786,3.486685,16.578398,31.413100
3779,20171229,MDE_292.5,-1.466967,8.415013,6.466215,16.767693,23.903314
3807,20171229,NCM,5.784220,12.258365,17.580417,24.472002,29.930099
3784,20171229,KDW2_59.0,7.044137,11.264417,18.132899,22.500286,43.783145
3789,20171229,ETH-1,5.679417,11.876340,17.038693,23.702405,38.924506
3776,20171229,KDW2_64.8,6.035376,13.103271,18.978893,26.251820,46.341292
3806,20171229,NCM,5.798997,12.272061,17.640273,24.477130,40.619744
3792,20171229,KDW2_64.8,6.062823,13.203845,19.095668,26.601732,44.767831
3766,20171229,ETH-4,-6.325756,-4.937125,-11.598056,-9.678358,16.391681
3770,20171229,ETH-2,-6.301493,-4.921271,-11.821244,-9.728678,2.503582
3794,20171229,ETH-3,5.408220,12.350719,17.618040,24.810500,39.182377
3782,20171229,ETH-4,-6.332570,-4.959107,-11.686692,-9.881738,-1.049145
3710,20171216,ETH-1,5.756948,11.878888,17.173362,23.642879,30.729592
3544,20171216,MDE_292.5,-1.413412,8.531516,6.669309,17.032224,27.069814
3547,20171216,ETH-2,-6.308935,-4.936756,-11.839375,-9.809536,-8.081926
3548,20171216,KDW2_64.8,6.065817,13.128218,19.013247,26.270672,27.274910
3554,20171216,MDE_292.5,-1.447113,8.477873,6.566822,16.832830,14.042035
3550,20171216,ETH-3,5.401721,12.299589,17.554216,24.609487,22.756183
3549,20171216,MDE_292.5,-1.388178,8.560577,6.732147,17.150326,20.922307
3553,20171216,KDW2_131.8_A,2.643854,9.566583,11.904937,19.184202,23.726932
3545,20171216,KDW2_59.0,7.073115,11.338648,18.371498,22.698763,33.645828
19581,20230510,AU_MANYA6_677.23,1.879119,4.425861,5.849074,8.844592,18.214342
